"manipulation_condition","manipulation_condition_word","system_justification_GMC","pre_evidence_guilt_belief","alignment_search","post_evidence_similarity","post_evidence_match","post_evidence_guilt_belief","right_wing_authoritarianism_GMC","social_dominance_orientation_GMC","need_for_cognition_GMC","political_orientation","race","education","age","gender","which_stim","observation1","observation1_code","observation2","observation2_code","observation3","observation3_code","observation4","observation4_code","observation5","observation5_code","observation6","observation6_code","observation7","observation7_code"
-0.5,"Maintain_Innocence",0.87401185770751,0,0,-1,-3.5,-3.5,0.0307539682539648,-0.114130434782608,-0.328528249244365,-1,"4",2,"20","2",2," letter I",2,"letter E",2,"letter u",2,"letter n",2,"",NA,"",NA,"",NA
0.5,"Confess_Recant",1.24901185770751,0,0,1,-2.5,-2.5,2.3640873015873,1.51086956521739,-0.504998837479655,2,"6",3,"21","2",2,"U",2,"N",2,"Y",2,"A",2,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",-1.37598814229249,-1,-2,-1,-5.5,-6.5,-2.3859126984127,-1.11413043478261,0.436177633108575,-3,"1",3,"","2",1,"The spacing between words was different ",1,"The t crosses were lower on exhibit B than A",1,"",NA,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",-0.12598814229249,-1,-1,-3,-6.5,-5.5,-1.05257936507937,0.135869565217392,-0.0932341315973053,-2,"1",3,"21","1",1,"The u seems different. The one on the bottom seems more concise ",1,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",1.24901185770751,1,-2,0,-6.5,-6.5,0.447420634920634,1.51086956521739,1.67147175075563,-1,"1",3,"22","1",2,"the T is written different, with the horizontal line being much lower in the second picture",1,"The R is written different, alot less pronounced curve in the first one",1,"The I is dotted on the second one, and does not have a dot on the first one",2,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",-0.12598814229249,0,0,3,7.5,6.5,0.280753968253965,-0.614130434782608,-0.563822366891425,-1,"1,6",3,"19","2",1,"Capital i ",2,"Letter y",2,"letter g",2,"letter e",2,"letter s' inclination",2,"",NA,"",NA
-0.5,"Maintain_Innocence",0.62401185770751,-1,0,-2,-1.5,-1.5,-0.135912698412696,1.13586956521739,0.0832364566379953,-1,"4",2,"21","1",2,"I",2,"i ",2,"G",2,"g",2,"",NA,"",NA,"",NA
0.5,"Confess_Recant",1.37401185770751,2,0,2,6.5,6.5,1.78075396825396,1.88586956521739,-1.03441060218553,0,"4",2,"19","1",1,"the letter i",2,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",-0.75098814229249,-1,0,-4,-8.5,-8.5,1.03075396825396,0.760869565217392,0.495001162520345,1,"4",2,"20","1",2,"Writing Style ",2,"g",2,"I",2,"t",2,"e",2,"u",2,"a",2
0.5,"Confess_Recant",-0.000988142292490224,1,0,-1,5.5,4.5,1.03075396825396,1.01086956521739,0.200883515461525,0,"4",5,"23","1",2,"The letter I, very wide and bold, in A it's casually written as a threat, in B it's formally written, but I is still big and wide",2,"The letter y, the person writes it as a combination of u and y",2,"",NA,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",-1.62598814229249,-1,-7,-2,-5.5,-6.5,-1.46924603174604,-1.48913043478261,0.553824691932105,-3,"2",3,"20","2",1,"The capital I's are slightly different",1,"The lowercase u's are different",1,"The S's are different",1,"The writings are at two different slants",1,"The spacing of the letters are different",1,"The o's are different",1,"The k's are different",1
-0.5,"Maintain_Innocence",0.49901185770751,-1,0,1,-2.5,-3.5,1.1140873015873,0.760869565217392,-0.0932341315973053,-2,"4",2,"20","2",1,"the way the ""e"" was written",2,"the slight tilt of the ""I"" ",2,"letter ""g""",2,"the letter ""a""",2,"the way he wrote ""s""",2,"""keep"" and ""agree"" (when he connects his words)",2,"t",2
0.5,"Confess_Recant",-0.62598814229249,0,0,2,-6.5,-5.5,1.44742063492063,-1.11413043478261,0.612648221343875,-1,"1",2,"20","2",2,"the I shape",2,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",-1.87598814229249,1,-1,0,-5.5,4.5,1.03075396825396,-0.239130434782608,-0.210881190420835,-2,"2",2,"19","2",2,"the connection of the e's after thr pervious letter in the second exibit are not the same as the first",1,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",-1.12598814229249,-1,0,1,-2.5,-2.5,0.364087301587304,1.26086956521739,0.0832364566379953,-1,"4",2,"21","2",1,"The a's are rather similar ",0,"the m's are differnt ",2,"the e's are differnent",2,"The spacing of words ",2,"the t's are different",1,"",NA,"",NA
0.5,"Confess_Recant",-0.000988142292490224,0,0,2,3.5,-3.5,-0.969246031746035,0.0108695652173916,1.02441292722622,-2,"1",3,"20","2",2,"the capitol letters and the Ls and Is are very tall",2,"I",2,"L",2,"T",2,"",NA,"",NA,"",NA
0.5,"Confess_Recant",2.24901185770751,1,-3,1,-5.5,-2.5,0.530753968253965,0.0108695652173916,-0.799116484538475,0,"4",2,"18","2",2,"I think its not similar",1,"letter s",2,"The text above is slanted",2,"The following text is straight forward",2,"The text above is longer",1,"The text below is flatter",1,"K",2
-0.5,"Maintain_Innocence",-1.50098814229249,-1,2,-1,3.5,-3.5,-0.635912698412696,-0.614130434782608,0.906765868402696,-2,"6",3,"19","2",1,"the similar letters, the first note might be rushed and not neat like the second but some of the letters are similar",1,"the letter e is very close",2,"although the capital I looks different, it could be because one was written in a hurry",1,"the letter n is the same",0,"the K is the same",0,"the same punctuation use",0,"the letter y is the same too",0
-0.5,"Maintain_Innocence",-1.50098814229249,-2,0,-3,-1.5,-6.5,-0.0525793650793656,0.260869565217392,0.200883515461525,-1,"4",2,"19","2",2,"G",2,"K",2,"T",2,"i",2,"",NA,"",NA,"",NA
0.5,"Confess_Recant",-0.25098814229249,0,-5,-1,-5.5,-5.5,-0.135912698412696,0.510869565217392,-0.740292955126715,-1,"4",3,"20","2",1,"The handwriting aspect of the writing aspect informed my opinion.",2,"agree- the g and the a",2,"The ""I"" is also written differently",1,"the g in rights is also written differently",1,"The spacing of the words is also different ",1,"The i's are also written differently.",1,"The s is also slightly different.",1
0.5,"Confess_Recant",-0.25098814229249,0,-3,-3,-2.5,-6.5,-1.1359126984127,-0.864130434782608,0.200883515461525,-2,"4",3,"18","1",1,"The letter ""h"" has a different concavity",1,"The letter ""g"" looks more disconnected in the robber's note",1,"The letter ""r"" looks curvier to me in the waiving of rights",2,"The angle of the letters is slightly slanted on the robber's note",2,"The ""o"" is a differnet shape with the robber's being rounder",1,"The ""t"" is crossed lower consistently on Hines's waiver.",2,"These pieces of information mean that Mr. Hines did not right the note, and is most likely not the robber",2
-0.5,"Maintain_Innocence",-1.87598814229249,-1,0,2,5.5,5.5,-1.55257936507937,-1.36413043478261,1.083236456638,-2,"1",3,"20","2",2,"The double L",2,"The capital i",2,"",NA,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",-2.37598814229249,1,3,2,5.5,5.5,-2.21924603174604,-1.61413043478261,-0.681469425714945,-3,"1",2,"20","2",1,"m in time and m in me look very similar",0,"the a's look similar ",0,"the overall curly style of writing is similar",0,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",0.37401185770751,-1,0,-1,-5.5,-5.5,-0.135912698412696,-0.364130434782608,-1.21088119042084,-1,"6",2,"18","2",2,"I'm not completely sure both handwritings look really basic which confused me. ",2,"The t's are different. ",1,"The I's look similar ",0,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",1.62401185770751,1,2,2,3.5,5.5,0.280753968253965,-0.614130434782608,-1.44617530806789,0,"4",2,"19","2",1,"“I” end with slightly left up",2,"“ke” and “ee” “de” are connected",2,"“r”s similar",0,"“s”s similar",0,"“ll”and“ll” “lk” not connected",2,"“t”s similar",0,"nothing more",1
-0.5,"Maintain_Innocence",-1.87598814229249,-1,-4,1,-6.5,-6.5,-1.80257936507937,0.385869565217392,-2.09323413159731,-3,"4",2,"20","2",1,"The spacing of the words. ",2,"The letter ""I"" is most distinctly different",1,"The ""e""s are different",1,"One letter is more spaced out than the other one. ",1,"The letters are closer together in one.",2,"The period mark.",2,"The a's are slightly different",1
0.5,"Confess_Recant",-2.87598814229249,0,1,3,5.5,6.5,-1.8859126984127,-1.73913043478261,0.553824691932105,-3,"1",3,"18","1",2,"The u's, h's, and a's all look quite similar and everything else in the story was odd.",0,"a",2,"h",2,"u",2,"g",2,"",NA,"",NA
-0.5,"Maintain_Innocence",-0.000988142292490224,-2,-6,1,-6.5,-6.5,0.364087301587304,-0.989130434782608,-2.2697047198326,0,"1",3,"21","2",1,"handwriting is less messy",1,"g's are different",1,"spaced out more",1,"h's are different",1,"singled spaced",2,"u's are different",1,"m's are different",1
0.5,"Confess_Recant",1.12401185770751,1,1,2,4.5,3.5,0.947420634920634,0.385869565217392,-0.622645896303185,0,"1,6",3,"22","1",2,"The similarity in handwriting.",0,"And his case. ",2,"",NA,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",1.24901185770751,1,-1,-1,-5.5,-4.5,-0.302579365079366,-0.739130434782608,0.0832364566379953,-2,"4",3,"23","1",2,"I think the spacing between letters and the height of the letters between the two samples looked different.",1,"I",2,"i",2,"o",2,"s",2,"a",2,"e",2
-0.5,"Maintain_Innocence",1.87401185770751,-1,-1,-3,-6.5,-6.5,0.697420634920634,-0.114130434782608,0.318530574285055,0,"4",2,"18","2",1,"Letters in exhibit A mostly slope to the right, while letters in exhibit B are most upright.",2,"Letters in exhibit A is rounder than exhibit B",1,"",NA,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",0.87401185770751,-1,-6,-3,-6.5,-7.5,-2.71924603174604,-1.36413043478261,0.377354103696815,-3,"1,6",3,"20","2",1,"The lowercase h in the handwriting sample was notably different from that one in the note. ",1,"There was also a difference in the lowercase g. ",1,"The lowercase a was also different in the sample compared to the note. ",1,"The spacing between lines was greater in the note than in the sample . ",1,"No more opinions ",1,"No more opinions ",1,"The evidence of the handwriting does not lead me to believe that Mr. Hines committed the crime. ",2
0.5,"Confess_Recant",0.99901185770751,0,0,1,1.5,-1.5,1.44742063492063,1.13586956521739,-0.210881190420835,1,"1",2,"18","1",2,"I belive that the suspect is gulty but I dont belive there is enough concrete evidence meaning he should be able to walk",2,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",0.74901185770751,0,0,-4,-7.5,-6.5,1.19742063492063,0.385869565217392,0.200883515461525,0,"4",2,"20","2",1,"The starting point of the letter O",2,"Mr Hines' O starts from the top while the robber's O starts from the left hand bottom",2,"",NA,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",1.74901185770751,0,0,-2,-5.5,-5.5,-0.0525793650793656,-0.864130434782608,1.61264822134387,1,"1",3,"21","1",2,"The fact that he wrote at an angle in A but without lined paper wrote perfectly straight in B. Also no mention of police finding the gun or money. ",2,"a",2,"t",2,"l",2,"e",2,"I",2,"h",2
-0.5,"Maintain_Innocence",-0.000988142292490224,-2,0,-2,-2.5,-2.5,1.6140873015873,-0.864130434782608,0.200883515461525,1,"2",2,"18","2",1,"The g's, s's and the c's do not aligned and I am sure that his alliable can be proven with video footage.",2,"he g's, s's and the c's do not aligned and I am sure that his alliable can be proven with video footage.",2,"",NA,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",-2.75098814229249,0,-1,1,-2.5,-5.5,-0.385912698412696,0.510869565217392,-0.799116484538475,-1,"1,6",3,"22","2",2,"The lowercase ""g"" because it is written completely different in the two notes",1,"g",2,"y",2,"a",2,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",0.74901185770751,0,-1,1,-7.5,-5.5,0.0307539682539648,-0.489130434782608,-0.799116484538475,NA,"",NA,"v","",2,"Text has a moodboard when they are written",2,"A is stronger, we can feel that the robber is really wild and nervous",2,"B is more normal, with different temperament than A",1,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",-0.62598814229249,0,2,2,3.5,-4.5,-2.1359126984127,0.385869565217392,-0.387351778656125,-2,"1",2,"19","2",1,"The way the ""h"" and ""I"" were written and the general similarity between the shapes of the letters",0,"The letters look similar and they have similar spacing",0,"",NA,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",-2.12598814229249,-2,0,-3,-8.5,-8.5,2.28075396825396,-1.73913043478261,1.96558939781447,1,"1,6",3,"21","2",2,"The letter I indicated show to be much different from each other on the two notes. The ""y"" in the bottom note is written in one shot, no lift of the pen, while the ""y"" written by the robber is written through separated pen strokes. The lowercase ""g""'s differ in that the top written sample has a more extended and exaggerated end of the ""g"" while the bottom sample is not as exaggerated. Finally, the letter ""t""'s differ in that the ones written in the sample on the bottom have a perpendicular stroke to the vertical portion of the t, more towards the middle or bottom of the letter, while in the first sample provided the stroke is more towards the top of the vertical line. Therefore, they are not the same, similar yes, but noticeably different.  ",2,"The letter ""y""(lowercase)",2,"The Letter ""g"" (lowercase)",2,"The letter ""t""",2,"The letters ""a"" ",2,"The letter ""r""",2,"The letter ""m""",2
-0.5,"Maintain_Innocence",0.49901185770751,-1,5,2,6.5,6.5,-0.552579365079366,0.510869565217392,-0.799116484538475,-2,"6",3,"18","1",1,"The way he spells his “a” is the same ",0,"The way he spells his “s” is the same ",0,"The way he spells his “h” is the same ",0,"Both of the samples seem to be a in a more formal tone ",1,"The way he spells his “t” is the same ",0,"The way he spells his “o” is the same ",0,"The way he spells his “r” is the same ",0
-0.5,"Maintain_Innocence",0.37401185770751,-1,0,2,6.5,5.5,0.447420634920634,-0.739130434782608,0.0832364566379953,-2,"6",2,"18","2",1,"g and k and r",2,"The g's and k's were really similiar. Especially the g. ",2,"",NA,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",-0.50098814229249,1,3,3,6.5,-2.5,-0.0525793650793656,0.135869565217392,-0.563822366891425,1,"4",3,"21","1",2,"the letter 'I' tilts in a similar fashion",0,"the letter 'a' is similar",0,"the proportional size of the letter 'I' to the rest of the letters are similar as well",0,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",-0.37598814229249,-1,-5,-2,-1.5,-2.5,-1.3859126984127,1.88586956521739,0.495001162520345,0,"1,6",3,"21","1",1,"The letter shaping, word spacing, and letter slant",2,"Exhibit B writes ""k"" with more straight branches from the main line. ",1,"The ""I's"" are more straight in Exhibit B than A, which are more angled",1,"The ""L's"" in A slant right while the ""L's"" in B slant left.",2,"The left leg of the ""h"" in Exhibit A is constantly higher than the right leg. This is not seen in Exhibit B.",1,"The spacing between words is less.",1,"The spacing between lines is less",1
0.5,"Confess_Recant",-1.37598814229249,-2,0,-2,-6.5,-6.5,-0.635912698412696,-0.614130434782608,-1.2697047198326,-2,"6",3,"20","2",2,"e",2,"g ",2,"t",2,"u",2,"h",2,"l",2,"k",2
0.5,"Confess_Recant",-0.37598814229249,1,0,2,5.5,6.5,-0.802579365079366,-1.61413043478261,-0.740292955126715,-3,"2",3,"18","2",1,"the 'h's ",2,"how he writes his a's",2,"the 's's",2,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",-0.12598814229249,1,0,2,5.5,5.5,0.530753968253965,-0.489130434782608,-0.563822366891425,-3,"6",2,"20","2",2,"The letters that are repeated so majority of the vowels, ",2,"A",2,"E",2,"I",2,"O",2,"U",2,"T",2
-0.5,"Maintain_Innocence",0.62401185770751,-1,0,-2,-5.5,-7.5,1.44742063492063,1.13586956521739,1.14205998604976,0,"4",2,"19","2",2,"I",2,"K",2,"h",2,"y",2,"r",2,"",NA,"",NA
-0.5,"Maintain_Innocence",-0.75098814229249,-2,0,3,-1.5,2.5,0.0307539682539648,0.510869565217392,-0.681469425714945,0,"4",3,"20","2",1,"writing style ",2,"space between each word",2,"",NA,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",-1.25098814229249,1,0,1,-6.5,-7.5,-0.135912698412696,0.135869565217392,-0.210881190420835,-1,"1",2,"19","2",2,"handwriting slightly dissimilar; too rounded. ",2,"not guilty plea",2,"finally, teller and customer were doubtful in their statements",2,"maybe even prejudice",2,"",NA,"",NA,"",NA
0.5,"Confess_Recant",0.99901185770751,-1,-1,-3,-6.5,-6.5,-0.802579365079366,0.635869565217392,0.553824691932105,-2,"4",2,"20","2",1,"Style of writing and letters",2,"Way of writing letters were different especially the Gs",1,"The bottom is perfectly lined together and neat the one on top is not",2,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",-0.37598814229249,0,-1,-1,3.5,2.5,0.280753968253965,1.13586956521739,0.259707044873285,0,"4",3,"22","2",1,"letter g, r, and s, general skewness of the writing; but letter l, m and t",2,"There are some similarities that are hard to overlook, like how some letters like l, m, and t are writte.",0,"But A has distinct s that are quite different from B",1,"B looks more neat and less skewed, but given the condition it's reasonable.",1,"However, if Hines was guilty, he might know his handwriting would be compared. Therefore, he might not use his normal handwriting and B would look drastically different from A. Therefore, the similarity is suspicious.",2,"",NA,"",NA
-0.5,"Maintain_Innocence",1.12401185770751,-1,-1,-2,-6.5,-5.5,1.03075396825396,1.01086956521739,0.495001162520345,0,"2,6",4,"18","1",2,"certain reoccurring letters in both that do not match. If they are reoccuring in bth that means its harder to fake the handwriting which menas that two different people wrote those lettters.",1,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",0.74901185770751,0,0,2,2.5,-1.5,0.530753968253965,-0.489130434782608,1.20088351546153,0,"4",2,"20","2",1,"The shape of the letters seemed incredibly similar, which is what",0,"ultimately guided my opinion. However, the slant of the bank ",2,"note is not visible in the police form, which makes me slightly",2," less confident. Nonetheless, I assume that the slant could be ",1,"due to the writer being in a rush or determined by some emotion",2," that was different at the time of writing the police form, whereas ",1,"the shape of the letters being the same seems harder to account for. ",0
0.5,"Confess_Recant",0.99901185770751,0,0,-2,-2.5,-2.5,1.53075396825396,1.63586956521739,-0.328528249244365,1,"4",2,"19","2",1,"space between words",2,"period sign",2,"how they write the letters ",2,"size of the words",2,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",-0.25098814229249,-1,-2,1,-5.5,-2.5,-1.46924603174604,-0.239130434782608,-0.563822366891425,-2,"4",3,"18","2",1,"spacing between words did not match up",2,"spacing between letters in words did not match up",2,"some letters in Exhibit B were connected such as the 'de' in 'understand' and 're' in 'remain' and that did not show up in exhibit A",2,"the direction the letters tilt are different. they tilt more to the right in exhibit A",1,"the m in 'me' in exhibit A starts with a down stroke and that is not as obvious in the m in 'my' in exhibit b",2,"the horizontal stroke in lowercase t is lower in exhibit B",2,"letters in exhibit A look more shallow/wider",1
-0.5,"Maintain_Innocence",1.62401185770751,1,-2,-2,-6.5,-4.5,0.864087301587304,0.0108695652173916,1.49500116252034,1,"1",3,"21","1",1,"The ""I"" is written differently.",1,"The spacing between each word is inconsistent in the two notes.",2,"The handwriting is significantly different. the latter is much neater",1,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",-1.00098814229249,-1,-4,2,-5.5,-6.5,-2.1359126984127,-1.73913043478261,1.61264822134387,-2,"1",3,"21","1",2,"The letters ""e"" in both notes are very similar, with a ""squished"" effect",1,"The capitalized ""I"" in both notes are also similar, with a wide top and Bottom, and a slight slant.",1,"The ""a"" in each note share similarities in height and shape. ",1,"The ""r"" in both notes also share similarities in the almost v shape that they assume. Therefore, I recognize the similarities in the handwriting, but I think that the rest of the case's context points to a verdict of ""not guilty;"" thus, I determined that the similarities are by chance and the notes are not written by the same person.",1,"",NA,"",NA,"",NA
0.5,"Confess_Recant",1.24901185770751,1,0,2,6.5,6.5,0.530753968253965,0.760869565217392,-0.975587072773775,-2,"4",3,"18","2",2,"I",2,"e",2,"t",2,"y",2,"k",2,"w",2,"r",2
-0.5,"Maintain_Innocence",0.37401185770751,0,-1,1,-5.5,-3.5,-0.969246031746035,0.385869565217392,0.142059986049755,-2,"4",2,"19","1",1,"The letter 'l'",2,"It tilts to one side in the robbery note, and the other side in the handwriting form, indicating different hands being used probably?",1,"",NA,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",0.12401185770751,1,7,0,-5.5,5.5,1.8640873015873,0.135869565217392,0.789118809579165,2,"1",2,"18","1",2,"The letter I appears the same in both.",0,"The letter r looks the same in both.",0,"The e is similar.",0,"The t is similar.",0,"The h is quite similar.",0,"The a's are structured similarly.",0,"The m is similar in both.",0
-0.5,"Maintain_Innocence",-1.37598814229249,0,1,1,-4.5,-5.5,0.530753968253965,1.13586956521739,-0.681469425714945,0,"4",2,"20","2",2,"""I"" is written in a relatively bigger size",1,"""s"" looks similar",0,"""y"" looks similar",0,"but ""u"" is bit differnt",2,"",NA,"",NA,"",NA
0.5,"Confess_Recant",-0.75098814229249,-1,-1,2,-2.5,-2.5,-2.55257936507937,-1.61413043478261,1.25970704487329,-2,"1",3,"19","1",1,"Letter density",2,"the two samples have a very different letter density and vertical to",1,"horizontal ratio. Though many letters have a similar formation, ",0,"The writing in exhibit B is taller, denser, and more bubbly than",1,"anything in A. It could be his handwriting, but I didn't find the samples",2,"conclusive enough to say it absolutely is. ",2,"",NA
0.5,"Confess_Recant",1.74901185770751,0,-2,-1,-5.5,-5.5,1.28075396825396,-0.739130434782608,-0.0344106021855346,1,"4",3,"19","1",1,"letter“g” I think that's different",1,"letter“t“ is different",1,"”I“",2,"”r“",2,"”e“",2,"”m“",2,"”l“",2
-0.5,"Maintain_Innocence",0.87401185770751,0,1,3,4.5,4.5,0.947420634920634,1.13586956521739,-0.504998837479655,0,"1",2,"19","2",2,"Many letters, such as y, are written the same.",0,"Handwriting",2,"Alliby",2,"Nervousness",2,"Lineup",2,"Identification",2,"Guilt",2
0.5,"Confess_Recant",-0.37598814229249,-1,0,1,-5.5,-5.5,-1.05257936507937,-0.989130434782608,-0.504998837479655,-2,"6",2,"19","2",1,"g not being fully closed ",2,"Curvature of the r",2,"",NA,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",-0.50098814229249,-1,-2,-2,-6.5,-6.5,-2.30257936507937,-1.36413043478261,1.9067658684027,-2,"4",3,"19","1",2,"G - they look dissimilar, especially the curvature at the end",2,"Uppercase I - bank robbery note I has lines that extend past each other while the handwriting has them strictly touching",2,"The bank robbery note handwriting is more vertical, waiver is more horizontal",1,"Bank robbery note - first letters of each word are typically much larger than the rest, not the case for the waiver",1,"",NA,"",NA,"",NA
0.5,"Confess_Recant",-1.50098814229249,0,1,-2,-5.5,-4.5,-1.1359126984127,-1.11413043478261,0.0244129272262255,-2,"1",3,"20","2",1,"letter shape",2,"I looked at certain letters like S or G and tried to compare how similar they were.",0,"",NA,"",NA,"",NA,"",NA,"",NA
-0.5,"Maintain_Innocence",-2.00098814229249,0,-2,-2,-6.5,-6.5,-0.385912698412696,-1.61413043478261,-2.38735177865613,-2,"2",3,"20","2",1,"The way the letters are written and the spacing of the words look different",1,"In the exhibit A the words are more far apart and in the Exhibit B the words are closer together. Also the style/font of the letters are different. In exhibit B, the dependent tends to connect his “e’s” to other letters and in exhibit A the e’s are mainly separate. ",1,"",NA,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",-1.12598814229249,-1,-1,-2,-6.5,-4.5,-1.96924603174604,-1.36413043478261,1.37735410369682,-3,"4",2,"19","2",1,"Spacing between the words",2,"The consistency of the ""I"" in the second letter compared to the first",2,"The shape of the m",2,"The letters on top are slightly more right leaning",1,"The ""e"" in the second letter is almost always connected to the letter before it",2,"The shape of the ""h""",2,"The shape of the ""r""",2
0.5,"Confess_Recant",-0.50098814229249,1,4,2,4.5,2.5,-1.05257936507937,-0.864130434782608,-0.622645896303185,-1,"2",3,"21","1",1,"both seem to write a bit sloppy, not closing g's consistently",2,"the way the period is written next to the last word seems similar",0,"the ""w""s in will and lawyer are very similar",0,"the I's are very similar",0,"overall the text looks physically similar, writing style and how deep the ink on the letters is",0,"the way the above note is written is very ""polite"", the bottom note is also written this way using periods corerectly in both.",2,"writes very tall l's",2
-0.5,"Maintain_Innocence",-2.50098814229249,-1,0,1,-4.5,-4.5,-1.3859126984127,-0.989130434782608,-1.32852824924437,-2,"2",3,"22","2",2,"looking at the k",2,"how the I are written",2,"",NA,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",0.99901185770751,0,-6,-2,-2.5,-6.5,0.197420634920634,0.510869565217392,1.25970704487329,-1,"6",3,"21","1",1,"The r's are different.",1,"The u's are slightly different.",1,"The t's are different.",1,"The I's are slightly different.",1,"The h's are different ",1,"The dots in the i's are slightly different.",1,"The L's in each note slant in opposite directions.",2
-0.5,"Maintain_Innocence",-1.37598814229249,-1,-1,-3,-1.5,-7.5,-0.302579365079366,0.260869565217392,0.965589397814465,-2,"1,6",3,"20","2",2,"The writing style is completely different, you can see it with the elongation differences of the letters as well as the way the first one crosses the I's or slashes the T's, honestly every letter is different from the two. ",1,"I ",2,"K ",2,"T",2,"g",2,"o",2,"r",2
0.5,"Confess_Recant",0.74901185770751,0,-1,-1,-5.5,-4.5,-1.55257936507937,-0.114130434782608,-0.328528249244365,-2,"4",2,"20","2",2,"The size of the letters and the cursive nature",2,"The bank note appears to be written in large letters and the person writing it has slightly cursive handwriting which is not resembled by Mr.Hines' note",2,"The letter l is different ",1,"the spacing of the words",2,"the letter a ",2,"cursive nature",2,"how straight the line is",2
-0.5,"Maintain_Innocence",-1.25098814229249,-1,-4,-2,-6.5,-7.5,0.364087301587304,-0.864130434782608,-0.563822366891425,0,"4",2,"19","2",1,"The way the I's are written are diffrent one is more straight the other is slanted ",1,"The letter S is also different in how its written",1,"the letter a is also different the line is a bit longer in the second letter",1,"the two LLs are written closer together in the second letter ",2,"The h is also not simular ",2,"i was unsure because the u was simular ",2,"the e is different",1
0.5,"Confess_Recant",-2.62598814229249,-1,0,2,-6.5,-6.5,-1.55257936507937,-1.48913043478261,1.31853057428506,-3,"",2,"19","2",2,"Articulation of words",2,"punctuation ",2,"first writing looks almost cursive",2," ",2," ",2," ",2," ",2
-0.5,"Maintain_Innocence",1.12401185770751,1,1,1,5.5,5.5,0.947420634920634,1.26086956521739,-0.622645896303185,1,"4",5,"20","1",1,"I saw the way that Hines wrote his c's and the 2 exhibits had awfully similar c's",0,"The tilted I's",2,"The a's",2,"the comic sans format",2,"the r's",2,"the t's",2,"the o's",2
-0.5,"Maintain_Innocence",-1.12598814229249,2,3,2,2.5,8.5,0.780753968253965,1.38586956521739,0.0244129272262255,1,"4",3,"21","1",2,"The letter l as well A are similar from both exhibitions ",0,"The space between each word are  almost the same from two exhibits ",0,"The format are similar ",0,"None",2," None",2,"None ",2," None",2
0.5,"Confess_Recant",0.62401185770751,0,-6,-3,-6.5,-5.5,0.197420634920634,-0.364130434782608,-0.152057661009064,-1,"4",3,"20","1",1,"the letter i, the way he draws the dot is dissimilar to the first letter",2,"The overall handwriting is different",1,"The spacing is different too",1,"the letter r are different",1,"the bottom sample is more put together and concise",1,"the letter e is written different ",1,"k is written differently",1
-0.5,"Maintain_Innocence",-0.000988142292490224,-1,-1,2,3.5,-4.5,1.19742063492063,0.260869565217392,-0.446175308067895,0,"4",3,"24","2",1,"the way the ""r"" was written",2,"and there's no specific letter that they write in total different way",1,"the way the ""n"" was written",2,"",NA,"",NA,"",NA,"",NA
0.5,"Confess_Recant",0.49901185770751,-1,0,-3,-6.5,-6.5,-1.30257936507937,-0.989130434782608,-0.563822366891425,-1,"4",3,"19","2",2,"G",2,"Q",2,"u",2,"r",2,"a",2,"n",2,"o",2
-0.5,"Maintain_Innocence",-2.25098814229249,-1,-5,0,-3.5,-5.5,-1.55257936507937,-1.11413043478261,0.318530574285055,-2,"2",3,"21","2",1,"the letter i is different",1,"the letter a is different",1,"the words are sloppier on the first one then the second",1,"the letter g is the same",0,"the un next to each other are different",1,"the r is different",1,"the e is also different",1
